País;Região;Sub_Região;Rate;Número_de_Suícidios;Ano
Mianmar;Ásia;Sudeste Asiático;28.4;15299;2021
Albânia;Europa;Sul da Europa;2.1;61;2020
Argélia;África;Norte da África;1.3;580;2020
Andorra;Europa;Sul da Europa;2.6;2;2020
Antígua e Barbuda;Américas;Caribe;9.2;9;2020
Argentina;Américas;América do Sul;5.3;2416;2020
Armênia;Ásia;Ásia Ocidental;1.8;52;2020
Austrália;Oceânia;Austrália, Nova Zelândia;0.9;221;2020
Áustria;Europa;Europa Ocidental;0.7;65;2020
Azerbaijão;Ásia;Ásia Ocidental;2.3;230;2020
Bahamas;Américas;Caribe;18.6;73;2020
Barbados;Américas;Caribe;14.3;41;2020
Belize;Américas;América Central;25.7;102;2020
Butão;Ásia;Sul da Ásia;2.5;19;2020
Bósnia e Herzegovina;Europa;Sul da Europa;1.3;43;2020
Brasil;Américas;América do Sul;22.5;47722;2020
Bulgária;Europa;Europa Oriental;1;69;2020
cabo Verde;África;África Ocidental;6.5;36;2020
Canadá;Américas;América do Norte;2;743;2020
Chile;Américas;América do Sul;4.8;926;2020
Colômbia;Américas;América do Sul;22.6;11520;2020
Costa Rica;Américas;América Central;11.2;570;2020
Croácia;Europa;Sul da Europa;1;39;2020
Chipre;Ásia;Ásia Ocidental;1.2;15;2020
República Checa;Europa;Europa Oriental;0.7;77;2020
Dinamarca;Europa;Norte da Europa;1;55;2020
Domínica;Américas;Caribe;20.8;15;2020
República Dominicana;Américas;Caribe;8.9;961;2020
Equador;Américas;América do Sul;7.8;1372;2020
Estônia;Europa;Norte da Europa;3.2;42;2020
Finlândia;Europa;Norte da Europa;1.6;91;2020
França;Europa;Europa Ocidental;1.3;879;2020
Alemanha;Europa;Europa Ocidental;0.8;782;2020
Grécia;Europa;Sul da Europa;0.8;78;2020
Grenada;Américas;Caribe;12.4;14;2020
Guatemala;Américas;América Central;17.5;3129;2020
Guiana;Américas;América do Sul;20;157;2020
Honduras;Américas;América Central;36.3;3598;2020
Hong Kong;Ásia;Ásia Oriental;0.3;22;2020
Hungria;Europa;Europa Oriental;0.8;80;2020
Islândia;Europa;Norte da Europa;1.5;5;2020
Índia;Ásia;Sul da Ásia;3;40651;2020
Irlanda;Europa;Norte da Europa;0.7;34;2020
Itália;Europa;Sul da Europa;0.5;285;2020
Jamaica;Américas;Caribe;44.7;1323;2020
Japão;Ásia;Ásia Oriental;0.3;318;2020
Jordânia;Ásia;Ásia Ocidental;1;99;2020
Cazaquistão;Ásia;Ásia Central;3.2;606;2020
Quênia;África;África Oriental;4;2151;2020
Quirguistão;Ásia;Ásia Central;1.7;114;2020
Letônia;Europa;Norte da Europa;2.6;49;2020
Líbano;Ásia;Ásia Ocidental;1.9;128;2020
Liechtenstein;Europa;Europa Ocidental;2.6;1;2020
Lituânia;Europa;Norte da Europa;3.7;101;2020
Luxemburgo;Europa;Europa Ocidental;0.2;1;2020
Macau;Ásia;Ásia Oriental;0.3;2;2020
Malta;Europa;Sul da Europa;1.6;7;2020
Mauritius;África;África Oriental;2.8;35;2020
México;Américas;América Central;28.4;36579;2020
Mongólia;Ásia;Ásia Oriental;6;196;2020
Montenegro;Europa;Sul da Europa;2.9;18;2020
Marrocos;África;Norte da África;1.3;487;2020
Namíbia;África;África do Sul;11.9;303;2020
Holanda;Europa;Europa Ocidental;0.6;107;2020
Noruega;Europa;Norte da Europa;0.6;31;2020
Omã;Ásia;Ásia Ocidental;0.3;14;2020
Paquistão;Ásia;Sul da Ásia;3.8;8490;2020
Panamá;Américas;América Central;11.1;480;2020
Paraguai;Américas;América do Sul;6.7;481;2020
Polônia;Europa;Europa Oriental;0.7;268;2020
Portugal;Europa;Sul da Europa;0.9;93;2020
Porto Rico;Américas;Caribe;18.5;529;2020
Catar;Ásia;Ásia Ocidental;0.4;12;2020
Coreia do Sul;Ásia;Ásia Oriental;0.6;308;2020
Moldova;Europa;Europa Oriental;2.3;93;2020
Romênia;Europa;Europa Oriental;1.5;281;2020
Rússia;Europa;Europa Oriental;7.3;10697;2020
São Cristóvão e Nevis;Américas;Caribe;18.8;10;2020
Santa Lúcia;Américas;Caribe;28.3;52;2020
Sérvia;Europa;Sul da Europa;1;89;2020
Singapura;Ásia;Sudeste Asiático;0.2;10;2020
Eslováquia;Europa;Europa Oriental;1.2;63;2020
